underlying_price,underlying_index,timestamp,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,stats.volume,stats.price_change,stats.low,stats.high,greeks.vega,greeks.theta,greeks.rho,greeks.gamma,greeks.delta,settlement_period,settlement_price
48188.81,BTC-19FEB21,1613068630336,34.2,0.0001,0.2785,0.07887812,106.1,0.0775,0.0,BTC-19FEB21-46500-C,47797.09,5292406677,[],0.0,0.0,0.0,0.148,3.0,"[[0.148, 3.0], [0.151, 0.3]]",231.09,30.3,72.2222,0.04,0.0775,26.36543,-185.07006,5.41594,5e-05,0.62172,week,0.03
45257.95,BTC-12FEB21,1613068630297,153.0,0.082,0.4815,0.28186091,249.78,0.2819,0.0,BTC-12FEB21-32500-C,47797.09,5290425205,"[[0.1, 100.0]]",0.0,0.1,100.0,0.0,0.0,[],0.0,125.0,12.4003,0.2508,0.2819,0.01897,-2.36921,0.49632,0.0,0.99971,week,0.27
48882.16,SYN.BTC-5MAR21,1613068631307,0.0,0.0001,0.2005,0.00054623,51.29,,0.0,BTC-5MAR21-65000-C,47797.41,5292058421,[],0.0,0.0,0.0,0.018,0.4,"[[0.018, 0.4]]",102.56,,,,,3.99702,-4.75481,0.36174,1e-05,0.01308,week,
48193.47,BTC-19FEB21,1613068631304,250.0,0.0635,0.463,0.26325636,195.29,0.2328,0.0,BTC-19FEB21-36500-C,47797.41,5292404996,[],0.0,0.0,0.0,0.377,3.0,"[[0.377, 3.0]]",480.5,,,,,14.61974,-188.8918,6.06048,2e-05,0.87065,week,0.19
50640.95,BTC-24SEP21,1613068631304,0.0,0.292,0.6915,0.49169229,100.0,,0.0,BTC-24SEP21-64000-P,47797.41,5292056549,"[[0.134, 0.1]]",0.0,0.134,0.1,0.0,0.0,[],0.0,,,,,157.76953,-35.12896,-297.32199,1e-05,-0.46268,month,0.4
50640.95,BTC-24SEP21,1613068631304,11111.2,0.2715,0.671,0.47148072,100.0,0.3071,0.0,BTC-24SEP21-32000-C,47797.41,5284471578,"[[0.05, 0.1]]",0.0,0.05,0.1,0.0,0.0,[],0.0,,,,,98.28469,-21.88407,113.50388,1e-05,0.83581,month,0.46
51320.79,SYN.BTC-31DEC21,1613068631304,112.4,0.051,0.4505,0.25070392,174.55,0.0825,0.0,BTC-31DEC21-28000-P,47797.41,5292033334,"[[0.017, 0.1]]",50.95,0.017,0.1,0.0,0.0,[],0.0,,,,,94.84618,-25.66267,-166.79392,0.0,-0.11708,month,0.2
48882.16,SYN.BTC-5MAR21,1613068631306,0.0,0.007,0.4065,0.20683096,100.0,,0.0,BTC-5MAR21-40000-C,47797.41,0,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,,30.2771,-70.22359,17.93524,2e-05,0.82809,week,
47798.27,index_price,1613068632310,25.0,0.4275,0.827,0.62701734,260.0,0.56,0.0,BTC-26FEB21-18000-C,47798.27,5286215990,"[[0.0055, 0.1]]",0.0,0.0055,0.1,0.0,0.0,[],0.0,,,,,3.85339,-34.41081,6.80231,0.0,0.98384,month,0.6
48195.8,BTC-19FEB21,1613068632313,0.0,0.0001,0.268,0.06817079,51.91,,0.0,BTC-19FEB21-51000-P,47798.27,5292406312,[],0.0,0.0,0.0,0.1565,3.0,"[[0.1565, 3.0]]",212.92,,,,,21.35418,-73.34031,-8.30571,9e-05,-0.76415,week,0.16
48195.8,BTC-19FEB21,1613068632317,0.0,0.149,0.5485,0.34874125,64.89,,0.0,BTC-19FEB21-65000-P,47798.27,0,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,,,,0.18961,-0.81397,-13.45105,0.0,-0.9992,week,0.48
